Name,Team,Pos,Throws_LR,Inn,PO,PO/Inn,OAA,OAA/Inn,Sprint_Speed
Hunter Goodman,COL,RF,R,165.3,44,0.2662,-3,-0.0181,28.0
Hunter Renfroe,KCR,RF,R,933.7,200,0.2142,-7.0,-0.0075,26.7
Jackson Chourio,MIL,RF,R,483.3,127,0.2628,7,0.0145,29.7
Jake Cave,COL,RF,L,546.0,129,0.2363,-1,-0.0018,27.7
Jake Fraley,CIN,RF,L,742.7,185,0.2491,0,0.0000,28.3
Jake McCarthy,ARI,RF,L,398.3,100,0.2511,2,0.0050,29.8
Jason Heyward,2 Tms,RF,L,517.0,132,0.2553,2,0.0039,26.8
Jesse Winker,2 Tms,RF,L,104.0,20,0.1923,-2,-0.0192,26.1
Jesús Sánchez,MIA,RF,R,874.3,216,0.2471,2,0.0023,27.2
Jhonkensy Noel,CLE,RF,R,376.0,94,0.2500,-3,-0.0080,28.1
Jo Adell,LAA,RF,R,1001.7,228,0.2276,1,0.0010,28.8
Jonny DeLuca,TBR,RF,R,383.3,105,0.2739,4,0.0104,29.8
Jordan Beck,COL,RF,R,114.0,27,0.2368,-1,-0.0088,28.6
Jordan Walker,STL,RF,R,367.3,64,0.1742,-4,-0.0109,28.4
Jorge Soler,ATL,RF,R,304.0,58,0.1908,-6.0,-0.0197,26.9
Josh Lowe,TBR,RF,R,625.7,165,0.2637,-3,-0.0048,28.4
Joshua Palacios,PIT,RF,R,119.0,19,0.1597,0,0.0000,28.0
Juan Soto,NYY,RF,L,1277.7,289,0.2262,-5.0,-0.0039,26.8
Kerry Carpenter,DET,RF,R,314.7,84,0.2669,0,0.0000,27.7
Kevin Pillar,2 Tms,RF,R,120.0,17,0.1417,-2,-0.0167,28.4
Kyle Tucker,HOU,RF,R,592.7,124,0.2092,1,0.0017,26.0
Lane Thomas,2 Tms,RF,R,741.7,170,0.2292,-7.0,-0.0094,29.3
Lars Nootbaar,STL,RF,R,512.0,131,0.2559,1,0.0020,27.0
Lawrence Butler,OAK,RF,R,955.3,251,0.2627,0,0.0000,27.6
Luis Matos,SFG,RF,R,126.0,22,0.1746,-1,-0.0079,27.8
Luke Raley,SEA,RF,R,218.3,47,0.2153,-2,-0.0092,28.9
Manuel Margot,MIN,RF,R,264.0,51,0.1932,-1,-0.0038,27.5
Mark Canha,2 Tms,RF,R,103.7,15,0.1446,-1,-0.0096,27.8
Matt Vierling,DET,RF,R,247.0,67,0.2713,0,0.0000,28.8
Matt Wallner,MIN,RF,R,267.7,60,0.2241,-1,-0.0037,27.5
Max Kepler,MIN,RF,L,806.3,172,0.2133,4,0.0050,26.8
Michael Toglia,COL,RF,L,105.7,22,0.2081,-1,-0.0095,27.4
Mickey Moniak,LAA,RF,R,125.0,23,0.1840,-2,-0.0160,28.6
Mike Tauchman,CHC,RF,L,358.0,72,0.2011,-1,-0.0028,27.2
Mike Yastrzemski,SFG,RF,L,976.7,188,0.1925,-1,-0.0010,27.2
Mitch Haniger,SEA,RF,R,702.3,162,0.2307,-5.0,-0.0071,26.2
Mookie Betts,LAD,RF,R,338.0,77,0.2278,0,0.0000,26.7
Nick Castellanos,PHI,RF,R,1363.7,263,0.1929,-8.0,-0.0059,27.4
Pavin Smith,ARI,RF,L,109.0,21,0.1927,-1,-0.0092,26.4
Ramón Laureano,2 Tms,RF,R,388.3,76,0.1957,-3,-0.0077,27.8
Randal Grichuk,ARI,RF,R,291.0,77,0.2646,-1,-0.0034,27.5
Rece Hinds,CIN,RF,R,105.0,29,0.2762,0,0.0000,29.2
Richie Palacios,TBR,RF,R,232.3,51,0.2195,1,0.0043,27.9
Rob Refsnyder,BOS,RF,R,197.7,49,0.2479,0,0.0000,27.3
Robbie Grossman,3 Tms,RF,L,129.3,38,0.2939,-4,-0.0309,27.7
Ronald Acuña Jr.,ATL,RF,R,428.0,98,0.2290,-3,-0.0070,27.7
Ryan O'Hearn,BAL,RF,L,115.0,27,0.2348,0,0.0000,27.8
Sal Frelick,MIL,RF,R,776.0,195,0.2513,6,0.0077,29.3
Sean Bouchard,COL,RF,R,136.0,32,0.2353,-1,-0.0074,27.1
Seiya Suzuki,CHC,RF,R,615.0,150,0.2439,-3,-0.0049,28.3
Seth Brown,OAK,RF,L,214.0,57,0.2664,-1,-0.0047,27.4
Starling Marte,NYM,RF,R,680.3,138,0.2029,-8.0,-0.0118,27.1
Stuart Fairchild,CIN,RF,R,133.0,38,0.2857,2,0.0150,29.1
Teoscar Hernández,LAD,RF,R,436.3,97,0.2223,-1,-0.0023,28.6
Tommy Pham,3 Tms,RF,R,387.7,92,0.2373,-3,-0.0077,27.2
Travis Jankowski,TEX,RF,R,171.0,39,0.2281,2,0.0117,28.5
Trey Cabbage,HOU,RF,R,161.3,24,0.1488,0,0.0000,27.9
Tyler Nevin,OAK,RF,R,114.0,33,0.2895,0,0.0000,26.4
Tyler O'Neill,BOS,RF,R,301.7,58,0.1922,-1,-0.0033,27.5
Tyrone Taylor,NYM,RF,R,361.0,88,0.2438,4,0.0111,28.9
Victor Robles,2 Tms,RF,R,248.3,63,0.2537,2,0.0081,27.8
Wenceel Pérez,DET,RF,R,647.0,138,0.2133,3,0.0046,28.2
Will Benson,CIN,RF,L,304.0,73,0.2401,0,0.0000,28.8
Will Brennan,CLE,RF,L,563.0,128,0.2274,-1,-0.0018,28.2
Wilyer Abreu,BOS,RF,L,921.3,212,0.2301,6,0.0065,27.5
