Name,Team,Pos,Throws_LR,Inn,PO,PO/Inn,OAA,OAA/Inn,Sprint_Speed
José Azocar,SDP,LF,R,130.7,29,0.2219,1,0.0077,29.0
Josh Lowe,TBR,LF,R,110.7,23,0.2078,1,0.0090,28.4
Jurickson Profar,SDP,LF,R,1203.7,230,0.1911,-6,-0.0050,26.5
Justyn-Henry Malloy,DET,LF,R,121.7,24,0.1973,-4,-0.0329,26.6
Kevin Pillar,LAA,LF,R,134.7,32,0.2376,0,0.0000,28.4
Kyle Stowers,2 Tms,LF,L,282.3,67,0.2373,-2,-0.0071,28.2
Lars Nootbaar,STL,LF,R,233.0,44,0.1888,0,0.0000,27.0
Lourdes Gurriel Jr.,ARI,LF,R,1059.0,239,0.2257,3,0.0028,26.6
Luke Raley,SEA,LF,R,423.7,106,0.2502,-1,-0.0024,28.9
Manuel Margot,MIN,LF,R,288.0,67,0.2326,-2,-0.0069,27.5
Mark Canha,2 Tms,LF,R,185.0,46,0.2486,1,0.0054,27.8
Matt Wallner,MIN,LF,R,156.3,49,0.3134,-2,-0.0128,27.5
Mauricio Dubón,HOU,LF,R,405.0,94,0.2321,3,0.0074,27.3
Michael Conforto,SFG,LF,R,835.0,152,0.1820,-4,-0.0048,26.3
Miguel Andujar,OAK,LF,R,615.7,129,0.2095,-7,-0.0114,26.6
Miguel Vargas,2 Tms,LF,R,175.0,32,0.1829,-4,-0.0229,28.6
Mike Tauchman,CHC,LF,L,100.0,24,0.2400,1,0.0100,27.2
MJ Melendez,KCR,LF,R,939.7,188,0.2001,-6,-0.0064,27.8
Nick Gordon,MIA,LF,R,493.3,108,0.2189,-2,-0.0041,27.6
Nolan Jones,COL,LF,R,583.7,103,0.1765,-6,-0.0103,28.1
Pavin Smith,ARI,LF,L,124.3,20,0.1609,0,0.0000,26.4
Ramón Laureano,ATL,LF,R,210.0,39,0.1857,0,0.0000,27.8
Randy Arozarena,2 Tms,LF,R,1189.0,258,0.2170,-7,-0.0059,28.1
Richie Palacios,TBR,LF,R,139.0,32,0.2302,1,0.0072,27.9
Riley Greene,DET,LF,L,700.7,156,0.2226,4,0.0057,27.7
Rob Refsnyder,BOS,LF,R,297.7,67,0.2251,-2,-0.0067,27.3
Robbie Grossman,3 Tms,LF,L,102.0,17,0.1667,0,0.0000,27.7
Sal Frelick,MIL,LF,R,184.0,26,0.1413,-2,-0.0109,29.3
Sam Hilliard,COL,LF,L,181.0,37,0.2044,1,0.0055,28.8
Sean Bouchard,COL,LF,R,103.0,18,0.1748,-1,-0.0097,27.1
Seth Brown,OAK,LF,L,360.3,83,0.2303,-3,-0.0083,27.4
Spencer Steer,CIN,LF,R,774.0,170,0.2196,-3,-0.0039,28.2
Steven Kwan,CLE,LF,L,990.0,205,0.2071,3,0.0030,27.1
Taylor Ward,LAA,LF,R,1241.0,302,0.2434,3,0.0024,26.8
Teoscar Hernández,LAD,LF,R,871.7,156,0.1790,-9,-0.0103,28.6
Tommy Pham,3 Tms,LF,R,277.3,53,0.1911,1,0.0036,27.2
Trevor Larnach,MIN,LF,R,371.0,77,0.2075,1,0.0027,26.3
Tyler O'Neill,BOS,LF,R,498.0,93,0.1867,-3,-0.0060,27.5
Tyrone Taylor,NYM,LF,R,120.3,24,0.1995,0,0.0000,28.9
Victor Robles,SEA,LF,R,103.0,25,0.2427,0,0.0000,27.8
Weston Wilson,PHI,LF,R,125.0,16,0.1280,-1,-0.0080,28.1
Whit Merrifield,PHI,LF,R,186.0,32,0.1720,-2,-0.0108,29.0
Will Benson,CIN,LF,L,315.7,75,0.2376,-2,-0.0063,28.8
Willi Castro,MIN,LF,R,228.7,56,0.2449,0,0.0000,27.9
Wyatt Langford,TEX,LF,R,832.7,181,0.2174,2,0.0024,29.8
Yordan Alvarez,HOU,LF,R,421.0,71,0.1686,-7,-0.0166,26.1
